,date_x,week_date,model_category,weekday_visits,date_y,weekend_visits,total_visits,base_rate,multiplier
0,2020-01-01,2019-12-30,education,2981,2020-01-05,5606,13058.5,75050.5,0.1739961759082218
1,2020-01-01,2019-12-30,office,754,2020-01-05,878,2763.0,7583.0,0.36436766451272584
2,2020-01-01,2019-12-30,retail,15184,2020-01-05,20597,58557.0,104534.0,0.5601718101287619
3,2020-01-01,2019-12-30,social,18676,2020-01-05,24140,70830.0,111885.5,0.6330579029454219
4,2020-01-01,2019-12-30,supermarket,3158,2020-01-05,4628,12523.0,17606.0,0.7112916051346132
5,2020-01-08,2020-01-06,education,23757,2020-01-12,6845,66237.5,75050.5,0.8825724012498252
6,2020-01-08,2020-01-06,office,2522,2020-01-12,1004,7309.0,7583.0,0.9638665435843333
7,2020-01-08,2020-01-06,retail,31265,2020-01-12,22844,101006.5,104534.0,0.9662549983737349
8,2020-01-08,2020-01-06,social,32728,2020-01-12,26256,108076.0,111885.5,0.9659517989373064
9,2020-01-08,2020-01-06,supermarket,5104,2020-01-12,4846,17606.0,17606.0,1.0
10,2020-01-15,2020-01-13,education,25102,2020-01-19,6465,69220.0,75050.5,0.9223123097114609
11,2020-01-15,2020-01-13,office,2574,2020-01-19,1148,7583.0,7583.0,1.0
12,2020-01-15,2020-01-13,retail,31080,2020-01-19,26834,104534.0,104534.0,1.0
13,2020-01-15,2020-01-13,social,32657,2020-01-19,30243,111885.5,111885.5,1.0
14,2020-01-15,2020-01-13,supermarket,4972,2020-01-19,4813,17243.0,17606.0,0.9793820288537999
15,2020-01-22,2020-01-20,education,25291,2020-01-26,7965,71192.5,75050.5,0.9485946129606065
16,2020-01-22,2020-01-20,office,2449,2020-01-26,1024,7146.5,7583.0,0.9424370301991296
17,2020-01-22,2020-01-20,retail,29557,2020-01-26,20944,94836.5,104534.0,0.9072311401075248
18,2020-01-22,2020-01-20,social,30463,2020-01-26,24905,101062.5,111885.5,0.903267179393219
19,2020-01-22,2020-01-20,supermarket,4764,2020-01-26,4396,16306.0,17606.0,0.9261615358400546
20,2020-01-29,2020-01-27,education,26782,2020-02-02,5541,72496.0,75050.5,0.9659629183016769
21,2020-01-29,2020-01-27,office,2195,2020-02-02,894,6381.5,7583.0,0.8415534748780166
22,2020-01-29,2020-01-27,retail,28061,2020-02-02,16912,87064.5,104534.0,0.832882124476247
23,2020-01-29,2020-01-27,social,29122,2020-02-02,19332,92137.0,111885.5,0.8234936609301473
24,2020-01-29,2020-01-27,supermarket,4185,2020-02-02,4203,14665.5,17606.0,0.8329830739520618
25,2020-02-05,2020-02-03,education,26774,2020-02-09,6850,73785.0,75050.5,0.9831380203995976
26,2020-02-05,2020-02-03,office,2184,2020-02-09,835,6295.0,7583.0,0.830146380060662
27,2020-02-05,2020-02-03,retail,26857,2020-02-09,20255,87397.5,104534.0,0.8360676908948285
28,2020-02-05,2020-02-03,social,28538,2020-02-09,24332,95677.0,111885.5,0.855133149514459
29,2020-02-05,2020-02-03,supermarket,4095,2020-02-09,4169,14406.5,17606.0,0.8182721799386573
30,2020-02-12,2020-02-10,education,27097,2020-02-16,5193,72935.5,75050.5,0.9718189752233496
31,2020-02-12,2020-02-10,office,2135,2020-02-16,845,6182.5,7583.0,0.8153105631016748
32,2020-02-12,2020-02-10,retail,27775,2020-02-16,21299,90736.5,104534.0,0.868009451470335
33,2020-02-12,2020-02-10,social,28755,2020-02-16,24046,95933.5,111885.5,0.8574256717805256
34,2020-02-12,2020-02-10,supermarket,4226,2020-02-16,3851,14416.0,17606.0,0.8188117687152108
35,2020-02-19,2020-02-17,education,13283,2020-02-23,5915,39122.5,75050.5,0.5212823365600495
36,2020-02-19,2020-02-17,office,2031,2020-02-23,885,5962.5,7583.0,0.7862982988263221
37,2020-02-19,2020-02-17,retail,26356,2020-02-23,20548,86438.0,104534.0,0.8268888591271739
38,2020-02-19,2020-02-17,social,28482,2020-02-23,23827,95032.0,111885.5,0.8493683274418937
