date,0-4,5-14,15-19,20-24,25-44,45-59,60-79,80+
2020-03-04,0,0,0,0,0,1,0,0
2020-03-05,0,0,0,0,2,3,0,0
2020-03-06,0,0,0,0,4,3,0,0
2020-03-07,0,0,0,1,6,3,0,0
2020-03-08,0,0,0,1,6,3,0,0
2020-03-09,0,0,0,1,8,3,0,0
2020-03-10,0,0,0,1,11,5,0,0
2020-03-11,0,0,1,3,15,9,1,0
2020-03-12,0,0,1,3,17,12,1,0
2020-03-13,0,0,1,4,24,16,1,0
2020-03-14,0,0,2,5,28,18,3,1
2020-03-15,0,0,2,6,33,18,9,1
2020-03-16,0,0,2,7,53,31,16,1
2020-03-17,0,0,3,8,69,36,18,5
2020-03-18,0,0,4,11,77,41,21,6
2020-03-19,0,0,4,12,85,47,23,8
2020-03-20,0,0,6,15,100,54,32,8
2020-03-21,0,0,6,16,105,62,34,9
2020-03-22,0,0,7,18,112,70,38,11
2020-03-23,0,0,8,21,124,79,44,12
2020-03-24,0,0,9,24,145,88,51,13
2020-03-25,0,0,10,26,161,98,62,15
2020-03-26,0,0,11,28,174,110,71,19
2020-03-27,0,0,12,30,186,118,79,20
2020-03-28,0,0,12,31,191,125,82,21
2020-03-29,0,0,13,32,194,126,86,24
2020-03-30,0,0,14,35,209,137,97,25
2020-03-31,0,0,15,39,232,152,107,27
2020-04-01,0,0,17,43,246,161,114,29
2020-04-02,0,0,18,45,261,166,122,32
2020-04-03,0,0,18,46,274,172,128,32
2020-04-04,1,2,21,47,280,177,128,33
2020-04-05,1,2,22,51,295,182,136,35
2020-04-06,1,3,24,54,313,195,147,38
2020-04-07,3,7,26,58,334,206,157,42
2020-04-08,3,7,28,61,357,229,171,44
2020-04-09,4,8,30,66,382,255,187,45
2020-04-10,4,9,30,66,393,264,193,45
2020-04-11,5,10,30,68,404,267,198,47
2020-04-12,5,10,31,70,408,272,202,49
2020-04-13,5,11,33,71,420,278,210,52
2020-04-14,5,11,34,73,433,294,220,57
2020-04-15,5,11,34,74,449,301,234,71
2020-04-16,6,12,34,76,464,309,236,73
2020-04-17,6,12,35,78,482,318,242,77
2020-04-18,6,13,36,79,487,321,243,78
2020-04-19,6,13,37,80,495,333,250,81
2020-04-20,7,14,37,82,509,346,256,83
2020-04-21,7,15,40,85,518,355,259,85
2020-04-22,8,17,41,86,529,361,268,86
2020-04-23,9,18,41,88,542,369,283,92
2020-04-24,9,19,43,91,555,376,291,94
2020-04-25,11,22,43,92,568,389,302,103
2020-04-26,11,23,46,95,581,395,306,104
2020-04-27,12,25,47,98,596,401,311,107
2020-04-28,14,28,52,107,627,415,318,108
2020-04-29,15,30,55,112,644,425,328,109
2020-04-30,16,32,56,116,661,432,334,110
2020-05-01,16,33,59,117,675,441,338,112
2020-05-02,18,37,60,121,699,445,343,113
2020-05-03,19,38,60,121,705,449,343,113
2020-05-04,20,41,64,125,723,460,346,114
2020-05-05,20,41,65,128,747,473,348,114
2020-05-06,21,42,67,133,765,485,351,115
2020-05-07,22,45,67,134,780,493,352,115
2020-05-08,24,48,69,136,792,498,355,115
2020-05-09,24,48,70,137,794,499,357,116
2020-05-10,24,48,70,138,797,500,357,116
2020-05-11,25,50,70,139,812,508,360,116
2020-05-12,26,52,72,142,827,520,369,124
2020-05-13,26,52,74,144,843,530,371,124
2020-05-14,28,56,77,148,854,535,375,125
2020-05-15,29,59,79,150,872,539,380,125
2020-05-16,29,59,79,150,876,541,381,126
2020-05-17,30,60,78,150,882,541,384,126
2020-05-18,32,64,82,155,898,550,387,127
2020-05-19,34,68,84,159,911,554,389,127
