"===================================================================================================="
"20/08/2020 05:54:24"
"python calibrate_SF.py --country US --area SF --mob lib/mobility/San_Francisco_settings_20.pk --start 2020-03-04 --end 2020-04-24 --measures_optimized --measures_close education social office --filename calibartion_betas_phome"
"===================================================================================================="
"Downsampling : 20"
"Town population: 42513"
"Town population (unscaled): 850282"
"Region population : 850282"
"Initial seed counts : {'expo': 4, 'isym_posi': 1, 'iasy': 1}"
"Daily test capacity in sim.: 4"
"Max time T (days): 52"
"Target cases per age group at t=0:   [0, 0, 0, 0, 0, 1, 0, 0]"
"Target cases per age group at t=T:   [1, 1, 3, 5, 28, 19, 15, 5]"
"Parameters : 6"
"Parameter bounds: {'p_stay_home': [0.0, 1.0], 'betas': {'education': [0.0, 0.20000000298023224], 'social': [0.0, 0.20000000298023224], 'office': [0.0, 0.20000000298023224], 'supermarket': [0.0, 0.20000000298023224]}, 'beta_household': [0.0, 0.20000000298023224]}"
"Simulation starts at : 2020-03-04 00:00:00"
"             ends at : 2020-04-27 00:00:00"
"Lockdown   starts at : 2020-03-17 00:00:00"
"             ends at : 2020-08-01 00:00:00"
""
"iter","    best obj"," current obj"," diff","  p_home","b/educat","b/social","b/office","b/superm","b/househ","walltime"
" -20"," -13853.0531"," -13853.0531","  -31","  0.5000","  0.1000","  0.1000","  0.1000","  0.1000","  0.1000"," 35.3644"
" -19"," -13853.0531"," -14168.1056","  -56","  0.7500","  0.0500","  0.1500","  0.0500","  0.1500","  0.0500","  8.3878"
" -18"," -13853.0531"," -18779.5912","   -3","  0.2500","  0.1500","  0.0500","  0.1500","  0.0500","  0.1500"," 77.2322"
" -17"," -13853.0531"," -15239.3669","  -38","  0.3750","  0.0750","  0.1250","  0.0250","  0.1750","  0.1750"," 19.6224"
" -16"," -13853.0531"," -21013.9905","  -16","  0.8750","  0.1750","  0.0250","  0.1250","  0.0750","  0.0750"," 44.3942"
" -15"," -11547.9751"," -11547.9751","  -55","  0.6250","  0.0250","  0.0750","  0.0750","  0.0250","  0.1250","  6.8501"
" -14"," -11547.9751"," -13033.8144","  -22","  0.1250","  0.1250","  0.1750","  0.1750","  0.1250","  0.0250"," 34.6231"
" -13","  -8631.2401","  -8631.2401","  -44","  0.1875","  0.0625","  0.0625","  0.1375","  0.1125","  0.0375"," 14.2429"
" -12","  -8631.2401"," -25951.4142","  -16","  0.6875","  0.1625","  0.1625","  0.0375","  0.0125","  0.1375"," 87.9015"
" -11","  -5356.8969","  -5356.8969","  -41","  0.9375","  0.0125","  0.1125","  0.1875","  0.0625","  0.0875","  9.5219"
" -10","  -5356.8969"," -15254.0900","  -20","  0.4375","  0.1125","  0.0125","  0.0875","  0.1625","  0.1875"," 27.2734"
"  -9","  -5356.8969","  -8247.1156","  -30","  0.3125","  0.0375","  0.1875","  0.1125","  0.0875","  0.1625"," 10.2882"
"  -8","  -5356.8969"," -28602.1800","  -26","  0.8125","  0.1375","  0.0875","  0.0125","  0.1875","  0.0625"," 37.3546"
"  -7","  -5356.8969"," -10933.6850","  -18","  0.5625","  0.0875","  0.0375","  0.1625","  0.1375","  0.1125"," 31.4110"
"  -6","  -5356.8969"," -21677.2907","  -35","  0.0625","  0.1875","  0.1375","  0.0625","  0.0375","  0.0125"," 16.0982"
"  -5","  -5356.8969"," -18359.1089","  -30","  0.0938","  0.0938","  0.1688","  0.0813","  0.0563","  0.0688"," 25.9347"
"  -4","  -5356.8969"," -22340.3424","   -3","  0.5938","  0.1938","  0.0688","  0.1813","  0.1562","  0.1688","133.9024"
"  -3","  -5356.8969"," -17675.2819","  -67","  0.8438","  0.0437","  0.0188","  0.0312","  0.1063","  0.0188","  5.7777"
"  -2","  -5356.8969"," -18884.7375","  -13","  0.3438","  0.1437","  0.1187","  0.1313","  0.0063","  0.1187"," 58.2420"
"  -1","  -5356.8969"," -13283.7631","  -62","  0.4688","  0.0188","  0.0938","  0.0563","  0.1313","  0.1437","  6.0572"
"   0","  -5356.8969"," -16617.3068","  -45","  0.4583","  0.0775","  0.1653","  0.0370","  0.1100","  0.0408"," 14.0460"
"   1","  -5356.8969"," -16740.6437","    1","  0.0559","  0.0923","  0.1391","  0.1734","  0.1410","  0.1713"," 50.4205"
"   2","  -5356.8969"," -15256.3006","  -56","  0.4712","  0.0742","  0.0836","  0.1041","  0.1784","  0.0128"," 10.0289"
"   3","  -5356.8969"," -14507.0950","  -12","  0.4297","  0.1073","  0.0891","  0.1896","  0.0340","  0.0248"," 21.7318"
"   4","  -5356.8969"," -25563.8613","  -16","  0.4197","  0.1366","  0.1526","  0.0766","  0.1913","  0.0546"," 34.4257"
"   5","  -5356.8969"," -18471.8657","  -24","  0.3830","  0.1057","  0.1470","  0.0239","  0.0699","  0.1460"," 35.2043"
"   6","  -5356.8969"," -17055.7081","  -13","  0.2324","  0.0986","  0.0314","  0.0836","  0.1790","  0.1340"," 47.4855"
"   7","  -5356.8969"," -22377.6397","  -17","  0.1834","  0.1353","  0.0943","  0.0867","  0.0577","  0.0976"," 64.4607"
"   8","  -5356.8969","  -7549.9463","  -51","  0.2114","  0.0542","  0.1481","  0.1635","  0.1740","  0.0086","  9.9312"
"   9","  -5356.8969","  -8590.6481","  -28","  0.1674","  0.0438","  0.0293","  0.1145","  0.1894","  0.1599"," 12.4966"
"  10","  -5356.8969","  -8462.5344","  -27","  0.0369","  0.0409","  0.1583","  0.1013","  0.0771","  0.1750"," 13.3720"
"  11","  -5356.8969","  -7132.2070","  -26","  0.4373","  0.0529","  0.0277","  0.1600","  0.0145","  0.1166"," 27.6667"
"  12","  -5356.8969"," -19829.9463","  -34","  0.1068","  0.1010","  0.0364","  0.0248","  0.0618","  0.0496"," 23.6356"
"  13","  -5356.8969"," -14147.6407","    7","  0.7216","  0.0573","  0.1257","  0.1959","  0.0531","  0.1949"," 31.1975"
"  14","  -5356.8969"," -18452.9831","  -73","  0.0649","  0.0002","  0.1631","  0.0084","  0.1458","  0.0647","  7.7320"
"  15","  -5356.8969"," -16098.6406","  -60","  0.7320","  0.0443","  0.0357","  0.0340","  0.1637","  0.0282","  9.3900"
"  16","  -5356.8969"," -28753.0945","  -14","  0.6179","  0.1974","  0.0377","  0.0593","  0.0354","  0.1819","133.3823"
"  17","  -5356.8969"," -16983.1458","   -2","  0.4787","  0.1047","  0.1140","  0.1320","  0.1623","  0.1899"," 46.7750"
"  18","  -5356.8969"," -12041.2925","  -26","  0.6317","  0.0862","  0.1593","  0.1060","  0.0743","  0.1206"," 32.6851"
"  19","  -5356.8969"," -14620.8582","  -63","  0.5838","  0.0202","  0.1242","  0.0415","  0.1414","  0.1456","  9.5725"
"  20","  -5356.8969"," -21007.5168","  -46","  0.6767","  0.1131","  0.1777","  0.0378","  0.1462","  0.0061"," 18.7184"
"  21","  -5356.8969"," -18328.2819","  -33","  0.8952","  0.1098","  0.0047","  0.0209","  0.1356","  0.1732"," 29.7526"
"  22","  -5356.8969","  -5811.7602","  -48","  0.6170","  0.0178","  0.1090","  0.1752","  0.1257","  0.0138"," 11.1724"
"  23","  -5356.8969"," -10084.2062","  -28","  0.9221","  0.0519","  0.1683","  0.0831","  0.0162","  0.1622"," 18.0892"
"  24","  -5356.8969"," -12824.8331","  -63","  0.7517","  0.0264","  0.1391","  0.0905","  0.1152","  0.0583","  9.4930"
"  25","  -5356.8969"," -19932.3994","  -34","  0.0938","  0.1555","  0.1513","  0.1448","  0.0359","  0.0046"," 23.7831"
"  26","  -5356.8969"," -23119.8467","  -12","  0.8071","  0.1831","  0.1323","  0.0976","  0.0845","  0.1119"," 68.4705"
"  27","  -5356.8969"," -20590.9881","  -33","  0.1118","  0.1774","  0.0547","  0.0233","  0.0838","  0.0920"," 50.5939"
"  28","  -5356.8969"," -16915.8969","  -46","  0.6436","  0.0867","  0.1461","  0.1070","  0.1515","  0.0029"," 17.8741"
"  29","  -5356.8969"," -11098.5263","   -6","  0.4192","  0.0808","  0.1687","  0.1999","  0.0106","  0.0699"," 30.0231"
"  30","  -5356.8969"," -12809.0994","  -57","  0.8174","  0.0213","  0.1024","  0.0483","  0.0364","  0.1844"," 10.1942"
"  31","  -5098.7257","  -5098.7257","  -38","  0.0267","  0.0415","  0.1704","  0.1953","  0.0487","  0.0221"," 11.9131"
"  32","  -5098.7257","  -6893.5681","  -35","  0.7257","  0.0570","  0.1444","  0.1662","  0.1898","  0.0585"," 21.2619"
"  33","  -5098.7257","  -6188.5150","  -45","  0.2346","  0.0122","  0.1511","  0.1426","  0.1066","  0.1067"," 11.0436"
"  34","  -5098.7257","  -5296.4381","  -37","  0.9923","  0.0102","  0.0612","  0.1676","  0.1063","  0.0995"," 12.6072"
"  35","  -5098.7257"," -15010.5581","  -40","  0.8734","  0.0739","  0.0970","  0.0115","  0.0719","  0.0861"," 25.9157"
"  36","  -5098.7257"," -13159.5181","  -14","  0.4932","  0.0987","  0.1647","  0.1650","  0.0730","  0.1052"," 44.9321"
"  37","  -5098.7257"," -25887.3862","  -25","  0.5618","  0.1598","  0.0793","  0.0430","  0.0220","  0.0523"," 62.5525"
"  38","  -5098.7257"," -23759.5165","  -20","  0.3393","  0.1759","  0.0541","  0.1336","  0.1954","  0.0386"," 60.4949"
"  39","  -5098.7257"," -15573.2332","  -30","  0.8465","  0.1264","  0.0529","  0.1097","  0.1537","  0.0697"," 29.0378"
"  40","  -5098.7257"," -17420.6206","  -28","  0.4093","  0.1525","  0.0615","  0.1228","  0.1169","  0.0669"," 43.7873"
"  41","  -5098.7257"," -16629.5544","  -42","  0.4925","  0.1211","  0.1668","  0.0551","  0.1876","  0.0304"," 20.0602"
"  42","  -5098.7257","  -5870.3607","  -41","  0.0506","  0.0091","  0.0442","  0.1538","  0.0490","  0.1901"," 13.0366"
"  43","  -5098.7257"," -21087.6901","   -7","  0.7907","  0.1426","  0.0258","  0.1458","  0.0158","  0.0994"," 65.6280"
"  44","  -5098.7257"," -17622.1694","  -30","  0.0834","  0.1237","  0.0459","  0.0333","  0.0293","  0.1158"," 46.2760"
"  45","  -5098.7257"," -15398.5557","  -62","  0.1725","  0.0641","  0.0929","  0.0747","  0.0821","  0.0192"," 12.8329"
"  46","  -5098.7257"," -16206.0906","  -68","  0.5215","  0.0043","  0.0316","  0.0309","  0.1079","  0.1627","  9.5775"
"  47","  -5098.7257","  -9396.4556","  -50","  0.7413","  0.0306","  0.1564","  0.0996","  0.0521","  0.1144"," 11.5861"
"  48","  -5098.7257","  -8910.0582","  -55","  0.1705","  0.0269","  0.0457","  0.1547","  0.1074","  0.0375"," 11.2832"
"  49","  -5098.7257"," -17749.1392","    1","  0.3547","  0.1506","  0.0840","  0.1544","  0.0335","  0.1967","109.2113"
"  50","  -5098.7257","  -6002.3682","  -39","  0.4394","  0.0288","  0.1746","  0.1377","  0.0792","  0.0957"," 12.8896"
"  51","  -5098.7257"," -18580.1882","  -20","  0.5245","  0.1424","  0.1720","  0.0712","  0.0682","  0.1329"," 51.1978"
"  52","  -5098.7257"," -16554.3037","    1","  0.4406","  0.0964","  0.1118","  0.1600","  0.0428","  0.1522"," 34.5315"
"  53","  -5098.7257"," -11513.0793","  -51","  0.4401","  0.0295","  0.0209","  0.0477","  0.0447","  0.1829"," 12.2754"
"  54","  -5098.7257"," -19578.9495","  -13","  0.6587","  0.1487","  0.0568","  0.1437","  0.1210","  0.1500"," 79.2436"
"  55","  -5098.7257"," -26701.2086","   -9","  0.7766","  0.1683","  0.0237","  0.1554","  0.0500","  0.0710"," 67.7103"
"  56","  -5098.7257"," -19299.6363","   -5","  0.6114","  0.1417","  0.0883","  0.1632","  0.0368","  0.1536","103.6811"
"  57","  -5098.7257"," -22469.9706","  -19","  0.2143","  0.1642","  0.0402","  0.0708","  0.1077","  0.1556"," 84.4525"
"  58","  -5098.7257"," -25411.2218","   -6","  0.8957","  0.1453","  0.1130","  0.0993","  0.0726","  0.1248"," 74.8542"
"  59","  -5098.7257"," -26439.4227","  -13","  0.7544","  0.1636","  0.0215","  0.1116","  0.1924","  0.0966"," 82.7998"
"  60","  -5098.7257"," -17175.6594","   -7","  0.3067","  0.0903","  0.0450","  0.0950","  0.0144","  0.1947"," 34.2251"
"  61","  -5098.7257"," -10577.6125","  -12","  0.7319","  0.0971","  0.1173","  0.1601","  0.0674","  0.1297"," 34.8529"
"  62","  -5098.7257"," -23465.1618","  -28","  0.7766","  0.1744","  0.0615","  0.0139","  0.1040","  0.1411"," 95.8411"
"  63","  -5098.7257"," -23358.8831","  -10","  0.3002","  0.1979","  0.0948","  0.1432","  0.0104","  0.0597"," 74.3941"
"  64","  -5098.7257"," -14367.1601","  -61","  0.5919","  0.0183","  0.1573","  0.0291","  0.1652","  0.1307"," 12.2427"
"  65","  -5098.7257"," -17454.8362","  -10","  0.7008","  0.1288","  0.1290","  0.1479","  0.0637","  0.1343"," 43.3248"
"  66","  -5098.7257"," -22846.1532","   -6","  0.8448","  0.1977","  0.1310","  0.1873","  0.1635","  0.0572"," 92.9216"
"  67","  -5098.7257","  -9222.8337","  -53","  0.3861","  0.0206","  0.1628","  0.1467","  0.0603","  0.0908"," 12.0453"
"  68","  -5098.7257","  -5255.8425","  -37","  0.7182","  0.0021","  0.1041","  0.1938","  0.0484","  0.0869"," 14.2701"
"  69","  -5098.7257"," -21213.0412","  -24","  0.7564","  0.1717","  0.0729","  0.0864","  0.0921","  0.0432"," 51.1356"
"  70","  -5098.7257"," -14551.7706","  -15","  0.2908","  0.0922","  0.0450","  0.1234","  0.1316","  0.1020"," 33.1027"
"  71","  -5098.7257"," -16058.8156","  -62","  0.0881","  0.0434","  0.0536","  0.0401","  0.0634","  0.0395"," 11.7961"
"  72","  -5098.7257"," -16469.9738","   -1","  0.6539","  0.1194","  0.0562","  0.1656","  0.1388","  0.1993"," 80.1927"
"  73","  -5098.7257"," -14465.1293","  -64","  0.4343","  0.0192","  0.0385","  0.0647","  0.0369","  0.0693"," 11.8662"
"  74","  -5098.7257"," -20004.8663","  -38","  0.6961","  0.1661","  0.1651","  0.0373","  0.0990","  0.0323"," 28.6442"
"  75","  -5098.7257"," -18893.5757","  -34","  0.7779","  0.1196","  0.0787","  0.0747","  0.1466","  0.0348"," 39.2896"
"  76","  -5098.7257"," -15456.6486","  -13","  0.4040","  0.1365","  0.0131","  0.1679","  0.1388","  0.1425"," 77.5128"
"  77","  -5098.7257"," -10515.6562","  -50","  0.5496","  0.0328","  0.0415","  0.0824","  0.1803","  0.0965"," 13.9609"
"  78","  -5098.7257"," -10538.6182","  -40","  0.9705","  0.0542","  0.0520","  0.0706","  0.1343","  0.0979"," 18.7956"
"  79","  -5098.7257"," -11289.4993","  -34","  0.3348","  0.0682","  0.0387","  0.1192","  0.1131","  0.0639"," 18.0424"
